Date,Sales
07-01-2022,1056
07-02-2022,1154
07-03-2022,1345
07-04-2022,1589
07-05-2022,1745
07-06-2022,2014
07-07-2022,2568
07-08-2022,2678
07-09-2022,2835
07-10-2022,3245
07-11-2022,3657
07-12-2022,4012
7-13-2022,1156
7-14-2022,1254
7-15-2022,1345
7-16-2022,1589
7-17-2022,1945
7-18-2022,2215
7-19-2022,2765
7-20-2022,2448
7-21-2022,2935
7-22-2022,3345
7-23-2022,3657
7-24-2022,4012
7-25-2022,1000
7-26-2022,1154
7-27-2022,1456
7-28-2022,1456
7-29-2022,1456
7-30-2022,1956
7-31-2022,2345
08-01-2022,2877
08-02-2022,2632
08-03-2022,3345
08-04-2022,3451
08-05-2022,3845
08-06-2022,1200
08-07-2022,1564
08-08-2022,1754
08-09-2022,1786
08-10-2022,1945
08-11-2022,2214
08-12-2022,2765
8-13-2022,2875
8-14-2022,2935
8-15-2022,3654
8-16-2022,3886
8-17-2022,4265
8-18-2022,1056
8-19-2022,1154
8-20-2022,1345
8-21-2022,1589
8-22-2022,1745
8-23-2022,2014
8-24-2022,2568
8-25-2022,2678
8-26-2022,2835
8-27-2022,3245
8-28-2022,3657
8-29-2022,4012
8-30-2022,1056
8-31-2022,1145
09-01-2022,1245
09-02-2022,1345
09-03-2022,1545
09-04-2022,1800
09-05-2022,2756
09-06-2022,2546
09-07-2022,2456
09-08-2022,3024
09-09-2022,3657
09-10-2022,4012
09-11-2022,1256
09-12-2022,1654
9-13-2022,1456
9-14-2022,1689
9-15-2022,1845
9-16-2022,214
9-17-2022,2656
9-18-2022,2778
9-19-2022,2935
9-20-2022,3354
9-21-2022,3757
9-22-2022,4265
9-23-2022,1000
9-24-2022,1254
9-25-2022,1456
9-26-2022,1654
9-27-2022,1455
9-28-2022,2000
9-29-2022,2345
9-30-2022,2700
10-01-2022,2835
10-02-2022,3245
10-03-2022,3657
10-04-2022,4012
10-05-2022,1200
10-06-2022,1322
10-07-2022,1500
10-08-2022,1589
10-09-2022,1745
10-10-2022,2014
10-11-2022,2568
10-12-2022,2678
10-13-2022,2565
